UnitCode,ParkName,Date,Comments,Year,MonthName,MonthNumber,Prompt,WordCount,TokenCount,CharacterCount,Output
GWMP,George Washington MEM PKWY,2010-07-01,Daingerfield Unit- the last three years average was used because the area where the counter is located is being repaved.  ,2010,July,7,"Comment for July:
Daingerfield Unit- the last three years average was used because the area where the counter is located is being repaved.  ",23,30,140,July: No Closures.
GWMP,George Washington MEM PKWY,2010-12-01,"Three year averages were used for the following: traffic count at station 60021 Lane 1 (National Airport) traffic count station 60023 Lanes 2, 3, 4, and 5",2010,December,12,"Comment for December:
Three year averages were used for the following: traffic count at station 60021 Lane 1 (National Airport) traffic count station 60023 Lanes 2, 3, 4, and 5",30,47,176,December: No Closures.
GWMP,George Washington MEM PKWY,2006-12-01,"		As a result of the unseasonably warm temperatures, the numbers closely resemble November.  The three year averages were submitted for the following: Number of vehicles at U.S. Marine War Memorial and Great Falls Park.    ",2006,December,12,"Comment for December:
		As a result of the unseasonably warm temperatures, the numbers closely resemble November.  The three year averages were submitted for the following: Number of vehicles at U.S. Marine War Memorial and Great Falls Park.    ",37,50,245,December: No Closures.
GWMP,George Washington MEM PKWY,2006-11-01,"Three year averages were submitted for the following due to malfunctioning counters:  Belle Haven (vehicles), Daingerfield (vehicles), Ft. Hunt Park, Ft. Marcy, Gravelly Point, Riverside Park and Turkey Run.  Crystal City - count is low due to construction ",2006,November,11,"Comment for November:
Three year averages were submitted for the following due to malfunctioning counters:  Belle Haven (vehicles), Daingerfield (vehicles), Ft. Hunt Park, Ft. Marcy, Gravelly Point, Riverside Park and Turkey Run.  Crystal City - count is low due to construction ",41,62,279,"November: Belle Haven, Daingerfield, Ft. Hunt Park, Ft. Marcy, Gravelly Point, Riverside Park, and Turkey Run were reported as closed due to malfunctioning counters. Crystal City had low visitation due to construction."
GWMP,George Washington MEM PKWY,2010-09-01,"MVT Users at Mount Vernon MP 12:  low count, battery was                                   replaced  MVT Users at Mount Vernon MP 0:  low count, fell out of alignment park of the month  Three year averages were used for the following:  USMC War Memorial, Great Falls Park Unit, and all of the traffic counts",2010,September,9,"Comment for September:
MVT Users at Mount Vernon MP 12:  low count, battery was                                   replaced  MVT Users at Mount Vernon MP 0:  low count, fell out of alignment park of the month  Three year averages were used for the following:  USMC War Memorial, Great Falls Park Unit, and all of the traffic counts",53,72,330,September: No Closures.
GWMP,George Washington MEM PKWY,2006-05-01,"										Three year averages were submitted for the following: Belle Haven Unit, Fort Hunt Park, Gravelly Point, Turkey Run Park, U.S. Marines Memorial, Great Falls Park  Traffic Count (Lanes 1 - 5)  Update:  July 13, 2006 - Glen Echo Park:  40468  		 		 		 		",2006,May,5,"Comment for May:
										Three year averages were submitted for the following: Belle Haven Unit, Fort Hunt Park, Gravelly Point, Turkey Run Park, U.S. Marines Memorial, Great Falls Park  Traffic Count (Lanes 1 - 5)  Update:  July 13, 2006 - Glen Echo Park:  40468  		 		 		 		",43,78,278,May: No Closures.
GWMP,George Washington MEM PKWY,2006-04-01,						Three year averages were submitted for the following: Fort Hunt Park Gravelly Point *The broken counters have been reported*  I did not receive vehicle reports for the following: U.S. Marines Memorial  Great Falls Park  Lanes 1 - 5 (National Airport) *The 3 year averages were submitted*  The increased in visitation is due to the warmer weather.  		 		 		,2006,April,4,"Comment for April:
						Three year averages were submitted for the following: Fort Hunt Park Gravelly Point *The broken counters have been reported*  I did not receive vehicle reports for the following: U.S. Marines Memorial  Great Falls Park  Lanes 1 - 5 (National Airport) *The 3 year averages were submitted*  The increased in visitation is due to the warmer weather.  		 		 		",59,88,381,"April: U.S. Marines Memorial, Great Falls Park, and Lanes 1-5 at National Airport were reported as closed due to lack of vehicle reports."
GWMP,George Washington MEM PKWY,2006-03-01,"				Used three year averages for the following counters:  Fort Hunt Park, Gravelly Point (The counters were not working)  U.S. Marine Corps War Memorial, Great Falls Park, Belle Haven, Daingerfield Island,Lane 3(Turkey Run,Lane 4 (Turkey Run), Lane 1 (Little Falls) and Lanes 2,3,4) National Airport  		 		",2006,March,3,"Comment for March:
				Used three year averages for the following counters:  Fort Hunt Park, Gravelly Point (The counters were not working)  U.S. Marine Corps War Memorial, Great Falls Park, Belle Haven, Daingerfield Island,Lane 3(Turkey Run,Lane 4 (Turkey Run), Lane 1 (Little Falls) and Lanes 2,3,4) National Airport  		 		",47,89,325,March: No Closures.
GWMP,George Washington MEM PKWY,2004-12-01,"The following counters are broken:   Number of vehicles at Bellehaven Unit Number of vehicles at Gravelly Point Number of vehicles at Turkey Run Unit Number of MVTrail Users at Belle Haven Number of MVTRail Users at Daingerfield Island  Since the counter was broken, the averages from the last three years were submitted.  In addition, I have notified Wally Robinson,sign crew supervisor, of the broken counters.  Thank you,    Deborah Deas, George Washington Memorial Parkway ",2004,December,12,"Comment for December:
The following counters are broken:   Number of vehicles at Bellehaven Unit Number of vehicles at Gravelly Point Number of vehicles at Turkey Run Unit Number of MVTrail Users at Belle Haven Number of MVTRail Users at Daingerfield Island  Since the counter was broken, the averages from the last three years were submitted.  In addition, I have notified Wally Robinson,sign crew supervisor, of the broken counters.  Thank you,    Deborah Deas, George Washington Memorial Parkway ",76,103,499,December: No Closures.
GWMP,George Washington MEM PKWY,2006-08-01,"		Additional visitation totals: Mount Vernon mile 0: 15101 LBJ pedestrian bridge:  7796  Maintenance was notified of the following counters: Belle Haven (vehicle), Fort Hunt Park and Gravelly Point - check battery   Fort Marcy and Turkey Run - not working  Crystal City and Daingerfield (upper parking) - counts continuously  In addition, I used the three years averages of the malfunctioning counters and Turkey Rune Lane 3 (traffic count) 		",2006,August,8,"Comment for August:
		Additional visitation totals: Mount Vernon mile 0: 15101 LBJ pedestrian bridge:  7796  Maintenance was notified of the following counters: Belle Haven (vehicle), Fort Hunt Park and Gravelly Point - check battery   Fort Marcy and Turkey Run - not working  Crystal City and Daingerfield (upper parking) - counts continuously  In addition, I used the three years averages of the malfunctioning counters and Turkey Rune Lane 3 (traffic count) 		",70,104,463,"August: Fort Marcy and Turkey Run were reported as not working, but no specific locations were mentioned as closed."
GWMP,George Washington MEM PKWY,2004-11-01,"George Washington Memorial Parkway  MPUR for November, 2004  Gravelly Point Number of Vehicles:  counter malfunction  The submitted figure of 24698 is the average of the past three years.  Turkey Run Unit Number of Vehicles:  counter malfunction  The submitted figure of 5153 is the average of the past three years.  BelleHaven Number of MVTrail USERS:  counter malfunction  The submitted figure of 32319 is the average of the past three years. ",2004,November,11,"Comment for November:
George Washington Memorial Parkway  MPUR for November, 2004  Gravelly Point Number of Vehicles:  counter malfunction  The submitted figure of 24698 is the average of the past three years.  Turkey Run Unit Number of Vehicles:  counter malfunction  The submitted figure of 5153 is the average of the past three years.  BelleHaven Number of MVTrail USERS:  counter malfunction  The submitted figure of 32319 is the average of the past three years. ",72,105,467,November: No Closures.
GWMP,George Washington MEM PKWY,2006-06-01,"		Submitted three years averages for the following:  Belle Haven (vehicles) Daingerfield (upper counter) Fort Hunt Park (vehicles) Gravelly Point (Vehicles) Turkey Run (vehicles)  Note:  The malfunctioning counters have been reported)  Traffic Counters: U.S. Marine Corps War Memorial Great Falls Park Lane 1 (National Airport) Lanes 2, 3, 3 and 5 (National Airport)  Note:  Mount Vernon's total was revised 7/13/06 		 		",2006,June,6,"Comment for June:
		Submitted three years averages for the following:  Belle Haven (vehicles) Daingerfield (upper counter) Fort Hunt Park (vehicles) Gravelly Point (Vehicles) Turkey Run (vehicles)  Note:  The malfunctioning counters have been reported)  Traffic Counters: U.S. Marine Corps War Memorial Great Falls Park Lane 1 (National Airport) Lanes 2, 3, 3 and 5 (National Airport)  Note:  Mount Vernon's total was revised 7/13/06 		 		",62,116,439,June: No Closures.
GWMP,George Washington MEM PKWY,2006-02-01,"				3 year averages were used for the following counters: Ft. Hunt Park Turkey Run Crystal City (replaced battery) Daingerfield (MVT) Glen Echo Park Vehicles:  U.S. Marines Memorial, Great Falls Park Unit, Lane 3 (Turkey Run), Lane 4 (Turkey Run), Lane 1 (Little Falls), Lane 1 (Natl Airport) and Lanes 2,3,4,5 (Natl Airport)  Note:  The decrease in visitation is due to a considerable amount of snow in February.  		 		 		",2006,February,2,"Comment for February:
				3 year averages were used for the following counters: Ft. Hunt Park Turkey Run Crystal City (replaced battery) Daingerfield (MVT) Glen Echo Park Vehicles:  U.S. Marines Memorial, Great Falls Park Unit, Lane 3 (Turkey Run), Lane 4 (Turkey Run), Lane 1 (Little Falls), Lane 1 (Natl Airport) and Lanes 2,3,4,5 (Natl Airport)  Note:  The decrease in visitation is due to a considerable amount of snow in February.  		 		 		",70,122,445,February: No Closures.
GWMP,George Washington MEM PKWY,2006-01-01,"Averages for the following counters were submitted:   Belle Haven (vehicles and MVT) Daingerfield (vehicles and MVT) Fort Hunt Park Turkey Run Gravelly Point  Note:  The sign crew supervisor will check the above counters.  Averages for the follwing vehicle and traffic counters were used:   U.S. Marines Corps War Memorial, Great Falls Park, Lane 1(National Airport) and Lanes 2, 3,4,5 (National Airport)  Note:  Kathryn Gunderson was notified by email of the vehicle and traffic counters.    Claude Moore Colonial Farm - annual January closure",2006,January,1,"Comment for January:
Averages for the following counters were submitted:   Belle Haven (vehicles and MVT) Daingerfield (vehicles and MVT) Fort Hunt Park Turkey Run Gravelly Point  Note:  The sign crew supervisor will check the above counters.  Averages for the follwing vehicle and traffic counters were used:   U.S. Marines Corps War Memorial, Great Falls Park, Lane 1(National Airport) and Lanes 2, 3,4,5 (National Airport)  Note:  Kathryn Gunderson was notified by email of the vehicle and traffic counters.    Claude Moore Colonial Farm - annual January closure",84,131,565,January: Claude Moore Colonial Farm was closed for the entire month.
GWMP,George Washington MEM PKWY,2006-07-01,		Belle Haven - used three year average (ants in counter) Ft. Hunt Park - used three year average (counter counts                 continuously - notified maintenance) Ft. Marcy - used three year average (dead battery -              notified maintenance) Gravelly Point - used three year average (notified                    maintenance) Riverside Park - used three year average (dead battery -                  notified maintenance) Turkey Run Park - used three year average (the counter                   rope was off the road) U.S. Marine Corps War Memorial and Great Falls Park                   vehicles - used three year average Mount Vernon Estate - used three year (point of contact is                       on vacation) Daingerfield - increase in visitation is due to the 4th of                July   		,2006,July,7,"Comment for July:
		Belle Haven - used three year average (ants in counter) Ft. Hunt Park - used three year average (counter counts                 continuously - notified maintenance) Ft. Marcy - used three year average (dead battery -              notified maintenance) Gravelly Point - used three year average (notified                    maintenance) Riverside Park - used three year average (dead battery -                  notified maintenance) Turkey Run Park - used three year average (the counter                   rope was off the road) U.S. Marine Corps War Memorial and Great Falls Park                   vehicles - used three year average Mount Vernon Estate - used three year (point of contact is                       on vacation) Daingerfield - increase in visitation is due to the 4th of                July   		",115,154,829,July: Mount Vernon Estate is closed (point of contact is on vacation).
INDU,Indiana Dunes NP,2017-03-01,Visitation updated,2017,March,3,"Comment for March:
Visitation updated",5,7,37,March: No Closures.
INDU,Indiana Dunes NP,2017-06-01,Central had the wrong count,2017,June,6,"Comment for June:
Central had the wrong count",8,9,45,June: No Closures.
INDU,Indiana Dunes NP,2019-04-01,will add the camping numbers shortly.,2019,April,4,"Comment for April:
will add the camping numbers shortly.",9,11,56,April: No Closures.
INDU,Indiana Dunes NP,2019-02-01,South parking lot closed for the season,2019,February,2,"Comment for February:
South parking lot closed for the season",10,11,61,February: South parking lot closed for the season.
INDU,Indiana Dunes NP,2022-11-01,Douglas Center is still closed.,2022,November,11,"Comment for November:
Douglas Center is still closed.",8,11,53,November: Douglas Center is closed.
INDU,Indiana Dunes NP,2022-08-01,Douglas Center is still closed.,2022,August,8,"Comment for August:
Douglas Center is still closed.",8,11,51,August: Douglas Center is closed.
INDU,Indiana Dunes NP,2022-10-01,Douglas Center is still closed.,2022,October,10,"Comment for October:
Douglas Center is still closed.",8,11,52,October: Douglas Center is closed.
INDU,Indiana Dunes NP,2022-09-01,Douglas Center is still closed.,2022,September,9,"Comment for September:
Douglas Center is still closed.",8,11,54,September: Douglas Center is closed.
INDU,Indiana Dunes NP,2022-12-01,douglas Center is still closed.,2022,December,12,"Comment for December:
douglas Center is still closed.",8,12,53,December: Douglas Center is closed.
INDU,Indiana Dunes NP,2022-07-01,Douglas Center is closed for construction.,2022,July,7,"Comment for July:
Douglas Center is closed for construction.",9,12,60,July: Douglas Center is closed for construction.
INDU,Indiana Dunes NP,2017-10-01,"Once I receive the educational programs, campground counts I will update the data.",2017,October,10,"Comment for October:
Once I receive the educational programs, campground counts I will update the data.",16,19,103,October: No Closures.
INDU,Indiana Dunes NP,2019-01-01,# of Public Education Prog visitors is at 0 because of the shut down,2019,January,1,"Comment for January:
# of Public Education Prog visitors is at 0 because of the shut down",17,20,89,January: Public Education Prog was closed due to a shutdown.
INDU,Indiana Dunes NP,2022-05-01,The Douglas Center is closed for a walking bridge that has been red tagged as unsafe.,2022,May,5,"Comment for May:
The Douglas Center is closed for a walking bridge that has been red tagged as unsafe.",19,21,102,May: Douglas Center is closed due to an unsafe walking bridge.
INDU,Indiana Dunes NP,2019-03-01,The Campground and the South Porter lots were still closed in the month of March.,2019,March,3,"Comment for March:
The Campground and the South Porter lots were still closed in the month of March.",18,21,100,March: Campground and South Porter lots were closed.
INDU,Indiana Dunes NP,2017-04-01,Central is closed due to water running underneath the road. Updated the campground tent & RV sites,2017,April,4,"Comment for April:
Central is closed due to water running underneath the road. Updated the campground tent & RV sites",20,22,117,April: Central is closed due to water running underneath the road.
INDU,Indiana Dunes NP,2022-06-01,Douglas Center is still closed.  Had a number that was way high for Lakefront Drive.,2022,June,6,"Comment for June:
Douglas Center is still closed.  Had a number that was way high for Lakefront Drive.",18,24,102,June: Douglas Center is closed.
INDU,Indiana Dunes NP,2017-02-01,The # of public or environmental education prog visitors & Douglas Center will be added when the count comes in.,2017,February,2,"Comment for February:
The # of public or environmental education prog visitors & Douglas Center will be added when the count comes in.",23,25,134,February: No Closures.
INDU,Indiana Dunes NP,2017-08-01,There has been a lot more traffic for Tremont shelter because the workers that are working on the pipe line haven been parking there also.,2017,August,8,"Comment for August:
There has been a lot more traffic for Tremont shelter because the workers that are working on the pipe line haven been parking there also.",28,31,158,August: No Closures.
INDU,Indiana Dunes NP,2017-12-01,Mt Baldy closed due to weather and Porter S closed due to winter season. No visitation at Douglas Center due to closed for HVAC replacement.,2017,December,12,"Comment for December:
Mt Baldy closed due to weather and Porter S closed due to winter season. No visitation at Douglas Center due to closed for HVAC replacement.",28,33,162,"December: Mt Baldy and Porter S are closed, and Douglas Center is closed for HVAC replacement."
INDU,Indiana Dunes NP,2019-05-01,The Douglas Center numbers were greatly higher this month do to the Parks Name Change Celebration so that brought a lot of attention to the Douglas Center Area.,2019,May,5,"Comment for May:
The Douglas Center numbers were greatly higher this month do to the Parks Name Change Celebration so that brought a lot of attention to the Douglas Center Area.",31,33,177,May: No Closures.
INDU,Indiana Dunes NP,2017-07-01,"Mt Baldy will stay an estimate count. The tent, RV, education prog visitors & Douglas Center will change once I receive the documentation.  Wrong count in Central.",2017,July,7,"Comment for July:
Mt Baldy will stay an estimate count. The tent, RV, education prog visitors & Douglas Center will change once I receive the documentation.  Wrong count in Central.",30,38,181,"July: Mt Baldy is reported as using an estimate count, with no specific closures mentioned for other locations."
INDU,Indiana Dunes NP,2019-09-01,For the # of Public or Environmental Education Prog Visitors we had a day where the Local High School tried to break the guiness book of world records for the largest field trip in history and they brought 1700 kids in one day.  Did not break the record.,2019,September,9,"Comment for September:
For the # of Public or Environmental Education Prog Visitors we had a day where the Local High School tried to break the guiness book of world records for the largest field trip in history and they brought 1700 kids in one day.  Did not break the record.",51,59,277,September: No Closures.
EUON,Eugene O'Neill NHS,2006-10-01,Stats are high because of the festival.,2006,October,10,"Comment for October:
Stats are high because of the festival.",10,12,60,October: No Closures.
EUON,Eugene O'Neill NHS,2018-12-01,Park closed Dec 22 due to shut dowm,2018,December,12,"Comment for December:
Park closed Dec 22 due to shut dowm",11,14,57,December: Park closed on December 22 due to shutdown.
EUON,Eugene O'Neill NHS,2006-12-01,"Dec. Cold, Slow except over holidays. ",2006,December,12,"Comment for December:
Dec. Cold, Slow except over holidays. ",9,14,60,December: No Closures.
EUON,Eugene O'Neill NHS,2006-06-01,Have 1 Class B driver had to limit many tours to 6 people only.,2006,June,6,"Comment for June:
Have 1 Class B driver had to limit many tours to 6 people only.",17,21,81,June: No Closures.
EUON,Eugene O'Neill NHS,2008-01-01,Beginning of month saw park short-staffed due to holidays and use/lose leave.,2008,January,1,"Comment for January:
Beginning of month saw park short-staffed due to holidays and use/lose leave.",15,22,98,January: No Closures.
EUON,Eugene O'Neill NHS,2006-09-01,Limited tour to 6 people many times due to one driver having a class b licence.,2006,September,9,"Comment for September:
Limited tour to 6 people many times due to one driver having a class b licence.",19,22,102,September: No Closures.
EUON,Eugene O'Neill NHS,2006-04-01,Only 1 person w/Class B Driver's licence. Had to limit many tours to 6 people. ,2006,April,4,"Comment for April:
Only 1 person w/Class B Driver's licence. Had to limit many tours to 6 people. ",18,27,98,April: No Closures.
EUON,Eugene O'Neill NHS,2006-05-01,Playwrights theater this month. Lots of turn aways had to limit tour to 6 people. NO Class B driver,2006,May,5,"Comment for May:
Playwrights theater this month. Lots of turn aways had to limit tour to 6 people. NO Class B driver",22,29,116,May: Playwrights theater closed for the month.
EUON,Eugene O'Neill NHS,2006-02-01,Student days may make stats higher. Schools are reading Long Days Journey into Night. Weekends fill up having turn aways.,2006,February,2,"Comment for February:
Student days may make stats higher. Schools are reading Long Days Journey into Night. Weekends fill up having turn aways.",23,29,143,February: No Closures.
EUON,Eugene O'Neill NHS,2006-08-01,Moving into slow season. Part of month only 1 class B driver which limited some tours to 6 or less.people. ,2006,August,8,"Comment for August:
Moving into slow season. Part of month only 1 class B driver which limited some tours to 6 or less.people. ",23,30,127,August: No Closures.
EUON,Eugene O'Neill NHS,2006-03-01,"Student Days March 2, 8, 9 This added to the amount of people. Tons of Rain record breaking month. ",2006,March,3,"Comment for March:
Student Days March 2, 8, 9 This added to the amount of people. Tons of Rain record breaking month. ",22,32,118,March: No Closures.
EUON,Eugene O'Neill NHS,2006-07-01,12 day in a row heat over 100 degrees. House never cooled down. For safety of visitors part of the time offered morning tours. ,2006,July,7,"Comment for July:
12 day in a row heat over 100 degrees. House never cooled down. For safety of visitors part of the time offered morning tours. ",27,33,145,July: No Closures.
EUON,Eugene O'Neill NHS,2006-01-01,"Lost park keys, Park closed part of time because admin did not want staff at park alone. This also reason for 3 turn aways. ",2006,January,1,"Comment for January:
Lost park keys, Park closed part of time because admin did not want staff at park alone. This also reason for 3 turn aways. ",27,34,145,"January: Park closed part of the time due to lost park keys and safety concerns, resulting in 3 turn aways."
EUON,Eugene O'Neill NHS,2008-06-01,"During the week of June 11-15, the park was host to the 7th International O'Neill Conference.  No public tours were provided during this week to accommodate the special activities in the park.  Tours were provided for Conference participants.",2008,June,6,"Comment for June:
During the week of June 11-15, the park was host to the 7th International O'Neill Conference.  No public tours were provided during this week to accommodate the special activities in the park.  Tours were provided for Conference participants.",41,54,260,June: No Closures.
EFMO,Effigy Mounds NM,2023-12-01,Closed one day for Christmas holiday.,2023,December,12,"Comment for December:
Closed one day for Christmas holiday.",9,11,59,December: No Closures.
EFMO,Effigy Mounds NM,2017-04-01,AV number for month is an estimate.,2017,April,4,"Comment for April:
AV number for month is an estimate.",10,12,54,April: No Closures.
EFMO,Effigy Mounds NM,2023-09-01,Ranger demonstration programs include pop-up programs.,2023,September,9,"Comment for September:
Ranger demonstration programs include pop-up programs.",9,13,77,September: No Closures.
EFMO,Effigy Mounds NM,2023-08-01,Ranger demonstration program includes pop-up programs.,2023,August,8,"Comment for August:
Ranger demonstration program includes pop-up programs.",9,13,74,August: No Closures.
EFMO,Effigy Mounds NM,2007-11-01,Closed Thanksgiving Day; Snow storm on the 30th,2007,November,11,"Comment for November:
Closed Thanksgiving Day; Snow storm on the 30th",11,15,69,November: Closed Thanksgiving Day.
EFMO,Effigy Mounds NM,2017-12-01,Sheila Oberreuter provided data on 02/05,2017,December,12,"Comment for December:
Sheila Oberreuter provided data on 02/05",9,16,62,December: No Closures.
EFMO,Effigy Mounds NM,2017-10-01,Sheila Oberreuter provided data on 02/05,2017,October,10,"Comment for October:
Sheila Oberreuter provided data on 02/05",9,16,61,October: No Closures.
EFMO,Effigy Mounds NM,2017-11-01,Sheila Oberreuter provided data on 02/05,2017,November,11,"Comment for November:
Sheila Oberreuter provided data on 02/05",9,16,62,November: No Closures.
EFMO,Effigy Mounds NM,2017-09-01,Sheila Oberreuter provided the data on 02/05,2017,September,9,"Comment for September:
Sheila Oberreuter provided the data on 02/05",10,17,67,September: No Closures.
EFMO,Effigy Mounds NM,2007-01-01,Extreme cold weather and snow seriously reduced visits ot our annual winter film festival.,2007,January,1,"Comment for January:
Extreme cold weather and snow seriously reduced visits ot our annual winter film festival.",17,19,111,January: No Closures.
EFMO,Effigy Mounds NM,2023-10-01,Demonstration programs included pop-up programs. Sunday evening program was an evening hike in the Heritage Addition.,2023,October,10,"Comment for October:
Demonstration programs included pop-up programs. Sunday evening program was an evening hike in the Heritage Addition.",19,24,138,October: No Closures.
EFMO,Effigy Mounds NM,2007-08-01,"One week of torrential downpours, mudslides and wash outs. Many locations in the region were declared federal disaster areas.  		",2007,August,8,"Comment for August:
One week of torrential downpours, mudslides and wash outs. Many locations in the region were declared federal disaster areas.  		",22,31,149,August: No Closures.
EFMO,Effigy Mounds NM,2007-12-01,"COLD, COLD, COLD - SNOW, SNOW, SNOW. VC Closed for holiday on 12/25.",2007,December,12,"Comment for December:
COLD, COLD, COLD - SNOW, SNOW, SNOW. VC Closed for holiday on 12/25.",16,32,90,December: Visitor Center closed for holiday on 12/25.
EFMO,Effigy Mounds NM,2017-05-01,"On-site programs include atlatl, boardwalks Off-site programs include ALIII talk at Pikes Peak; Horse Painting at LaRiverier.",2017,May,5,"Comment for May:
On-site programs include atlatl, boardwalks Off-site programs include ALIII talk at Pikes Peak; Horse Painting at LaRiverier.",20,34,142,May: No Closures.
EFMO,Effigy Mounds NM,2007-09-01,"Heavy rains and flash flooding on several days in two different weeks caused severe wind, tree and train damage. This was a repeat of similar weather encountered during August.",2007,September,9,"Comment for September:
Heavy rains and flash flooding on several days in two different weeks caused severe wind, tree and train damage. This was a repeat of similar weather encountered during August.",32,36,199,September: No Closures.
EFMO,Effigy Mounds NM,2007-03-01,"Winter broke suddenly with record high temperature in early March; ground and air was extememly hot, humid and wet - not conducive for traditional winter or spring visits.",2007,March,3,"Comment for March:
Winter broke suddenly with record high temperature in early March; ground and air was extememly hot, humid and wet - not conducive for traditional winter or spring visits.",31,38,190,March: No Closures.
EFMO,Effigy Mounds NM,2017-02-01,Us. Mint Coin Launch - both on-site and off-site: Onsite - 68 Visitors Off-site (Waukon High School) 1364 (estimate),2017,February,2,"Comment for February:
Us. Mint Coin Launch - both on-site and off-site: Onsite - 68 Visitors Off-site (Waukon High School) 1364 (estimate)",22,38,138,February: No Closures.
EFMO,Effigy Mounds NM,2007-04-01,Middle of the month saw temperatures plummet to below wverage after a week of temperatures reaching record highs. Unpredictable and unseasonable weather reduced the normaally strong spring visitation.,2007,April,4,"Comment for April:
Middle of the month saw temperatures plummet to below wverage after a week of temperatures reaching record highs. Unpredictable and unseasonable weather reduced the normaally strong spring visitation.",31,42,219,April: No Closures.
EFMO,Effigy Mounds NM,2007-02-01,"Extreme cold weather and snow throughout the month severely reduced visitation, especially to our annual Winter Film Festival. Daytime high temperatures rarely exceeded 20 degrees; overnoght lows were usually below -10 degrees.",2007,February,2,"Comment for February:
Extreme cold weather and snow throughout the month severely reduced visitation, especially to our annual Winter Film Festival. Daytime high temperatures rarely exceeded 20 degrees; overnoght lows were usually below -10 degrees.",35,47,249,February: No Closures.
EFMO,Effigy Mounds NM,2023-03-01,"Visitor center winter hours remained in effect: closed on Tuesdays and Wednesdays. Estimated number of visitors on those days for the month entered in the ""Estimate of Recreation Visits (not fishing) when VC Closed"" field. Numerous internal use data fields are no longer relevant or data is not collected.",2023,March,3,"Comment for March:
Visitor center winter hours remained in effect: closed on Tuesdays and Wednesdays. Estimated number of visitors on those days for the month entered in the ""Estimate of Recreation Visits (not fishing) when VC Closed"" field. Numerous internal use data fields are no longer relevant or data is not collected.",52,66,324,March: Visitor center closed on Tuesdays and Wednesdays due to winter hours.
