ParkName,UnitCode,FieldName,FieldCode,Formula,IsInSTATS
Valley Forge NHP,VAFO,F206A,TOTAL RANGER ED ATTENDANCE,F72A+F73A+F74A+F76A+F79+F47A+F48A,0
Valley Forge NHP,VAFO,F207,Total Convention & Visitors Bureau Programs,F75+F77+F78,0
Valley Forge NHP,VAFO,F207A,Total Convention & Visitors Bureau Program Attendance,F75A+F77A+F78A,0
Valley Forge NHP,VAFO,F35A,OUAN SECRETS AND SPIES ATTENDANCE,NULL,0
Valley Forge NHP,VAFO,F203,Total Formal Interpretation,"IIF(RY GTE 2019,F30+F31+F33+F34+F42+F43+F44,F30+F31+F32+F33+F34+F35+F36+F37+F38)",0
Valley Forge NHP,VAFO,F203A,Total Formal Interpretation Attendance,"IIF(RY GTE 2019,F30A+F31A+F33A+F34A+F42A+F43A+F44A,F30A+F31A+F32A+F33A+F34A+F35A+F36A+F37A+F38A)",0
Voyageurs NP,VOYA,F37,VISITORS AT HEADQUARTERS BUILDING,NULL,0
Voyageurs NP,VOYA,F38,FRONT COUNTRY CAMPERS NAMAKAN,NULL,1
Voyageurs NP,VOYA,F39,FRONT COUNTRY CAMPERS RAINY,NULL,1
Voyageurs NP,VOYA,F40,NUMBER OF O/N CAMPING STAYS (WINTER),NULL,1
Voyageurs NP,VOYA,BC1,BC PRE 2010 and 2013,"IIF(RY LTE 2009 AND RY EQ 2013,IIF(RM GTE 5 AND RM LTE 11,F11,(F8A1*2.4)),0)",0
Voyageurs NP,VOYA,BC2,BC 2010 THRU 2012,"IIF(RY GTE 2010 AND RY LTE 2012,F29,0)",0
Cape Lookout NS,CALO,F350,BEAUFORT VC,NULL,0
Cape Lookout NS,CALO,F271A,NC OUTWARD BOUND NC DAY USE,NULL,0
Cape Lookout NS,CALO,F351,BARRIER NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F353,BARRIER SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F355,CAROLINA OCEAN STU SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F356,CAROLINA OCEAN STU SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F357,CRYSTAL COAST ECO NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F358,CRYSTAL COAST ECO SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F359,CRYSTAL COAST ECO SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F360,CRYSTAL COAST LADY NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F361,CRYSTAL COAST LADY SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F362,CRYSTAL COAST LADY SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F363,GREEN RIVER PRESERVE NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F364,GREEN RIVER PRESERVE SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F365,GREEN RIVER PRESERVE SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F366,LOOKOUT ADVENTURES NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F367,LOOKOUT ADVENTURES SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F368,LOOKOUT ADVENTURES SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F369,LOOKOUT CRUISES NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F370,LOOKOUT CRUISES SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F371,LOOKOUT CRUISES SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F372,OUTWARD BOUND NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F373,OUTWARD BOUND SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F374,OUTWARD BOUND SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F375,PORT CITY TOUR NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F376,PORT CITY TOUR SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F377,PORT CITY TOUR SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F378,SEAVISIONS NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F379,SEAVISIONS SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F380,SEAVISITIONS SH TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F381,ALL OTHERS NC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F382,ALL OTHERS SC TOTAL PASSENGERS,NULL,0
Cape Lookout NS,CALO,F383,ALL OTHERS SH TOTAL PASSENGERS,NULL,0
Weir Farm NHP,WEFA,F46,WEIR HOUSE TOURS,NULL,0
Weir Farm NHP,WEFA,F47,WEIR HOUSE TOUR ATTENDANCE,NULL,1
Weir Farm NHP,WEFA,F48,YOUNG STUDIO ATTENDANCE,NULL,1
Weir Farm NHP,WEFA,F49,WEIR STUDIO TOUR ATTENDANCE,NULL,1
Jean Lafitte NHP & PRES,JELA,F25,Chalmette Cemetery Traffic Count,NULL,0
Tumacacori NHP,TUMA,F20,ON-SITE YOUTH PROGRAMS,NULL,0
Tumacacori NHP,TUMA,F21,ON-SITE YOUTH PROGRAM ATTENDANCE,NULL,0
Tumacacori NHP,TUMA,F22,OFF-SITE YOUTH PROGRAMS,NULL,0
Tumacacori NHP,TUMA,F23,OFF-SITE YOUTH PROGRAM ATTENDANCE,NULL,0
Tumacacori NHP,TUMA,F24,OFF-SITE YOUTH CURRICULUM BASED PROGRAMS,NULL,0
Tumacacori NHP,TUMA,F25,OFF-SITE YOUTH CURRICULUM BASED PROGRAM ATTENDANCE,NULL,0
Glacier NP,GLAC,F49B,Motel Lake McDonald O/N Stays,NULL,1
Glacier NP,GLAC,SU14M,OVERNIGHT STAYS AT MOTEL LAKE MCDONALD,F49B,0
Clara Barton NHS,CLBA,F3,NUMBER OF HOURS FOR HOUSE VISITS,F2*1,1
Clara Barton NHS,CLBA,REC,TOTAL RECREATION,F2,0
Bent's Old Fort NHS,BEOL,F1,VISITORS ENTERING THE FORT,NULL,1
Bering Land Bridge NPRES,BELA,TRV,TRV,REC,0
Catoctin Mountain Park,CATO,F1,TRAFFIC COUNT AT THE VISITOR CENTER,NULL,1
Catoctin Mountain Park,CATO,F2,TRAFFIC COUNT AT ROUND MEADOW,NULL,1
William Howard Taft NHS,WIHO,F1,WALK-IN VISITORS ENTERING TAFT HOUSE,NULL,1
Eisenhower NHS,EISE,F1,NUMBER OF VISITORS IN TOUR CENTER,NULL,0
Boston NHP,BOST,F10,ELECTRONIC COUNT AT FANEUIL HALL (All 5 Counters),NULL,1
Boston NHP,BOST,NREC,NREC,F15*NRVPD,1
Eugene O'Neill NHS,EUON,F9,Other Visits (EOF),NULL,0
Buffalo NR,BUFF,ON28,(OLD) NUMBER OF TENTS AT MAUMEE SOUTH,NULL,0
Horseshoe Bend NMP,HOBE,F1,TRAFFIC COUNT AT HWY 49 NORTH,NULL,0
Homestead NHP,HOME,F1,TRAFFIC COUNT AT EDUCATION CENTER,NULL,1
War in the Pacific NHP,WAPA,F3,BUS PASSENGERS,NULL,0
Klondike Gold Rush NHP Alaska,KLGO,F1,VISITORS TO THE VISITOR CENTER/DEPOT,NULL,1
Lake Roosevelt NRA,LARO,F5,TRAFFIC COUNT AT KETTLE FALLS CA,NULL,1
Sequoia NP,SEQU,BC,Backcountry Overnight Stays,OVBC*EXPMBC,0
Voyageurs NP,VOYA,F8A,TOTAL VC VISITORS,F1+F2+F3,1
Canyonlands NP,CANY,PPVMZ,PPV MAZE,"IIF(RM LTE 2 OR RM GTE 10,2.0,IIF(RM EQ 3 OR RM EQ 4 OR RM EQ 6,2.5,IIF(RM EQ 5 OR RM GTE 7 AND RM LTE 9,2.2,0)))",1
Hawaii Volcanoes NP,HAVO,TOTCG,TENT RV O/N STAYS,TT+TRVS,0
Cumberland Island NS,CUIS,F12,F12,F4+F5+F6,0
Klondike Gold Rush NHP Alaska,KLGO,F21,WINTER VISITORS,F1+F5+F6+F7+F8A+F10,1
Mount Rushmore NMEM,MORU,F27,Day 3,"IIF((F20+F21) LT 2*NREP,((((F20+F21)-F22)-((F20+F21)/2))*PPV)+F23,((((F20+F21)-F22)-NREP)*PPV)+F23)",1
Vietnam Veterans MEM,VIVE,F5,Special Event Visitors 1,NULL,0
Muir Woods NM,MUWO,F64,Day 20,NULL,1
Harry S Truman NHS,HSTR,F9,INACTIVE after 2013,NULL,0
Tumacacori NHP,TUMA,F55,YOUTH CURRICULUM PROGRAMS (FORMERLY EDUCATION PROGRAMS),NULL,0
Coronado NMEM,CORO,F14,TRAFFIC COUNT AT WEST ENTRANCE,"IIF(RY GTE 2010,F6,0)",0
Fort Caroline NMEM,FOCA,F20,TRAFFIC COUNT AT RIBAULT'S COLUMN,F3/2,1
Antietam NB,ANTI,F12,VC + Outside Visitors,"IIF(RY GTE 2005,F6*(1+EXPM),F6*1.25)",0
Antietam NB,ANTI,REC,REC,"IIF(RY GTE 2020,F6+F13+F10+F20+F100,F10+F12)",1
Antietam NB,ANTI,NREC,NREC,0,0
Antietam NB,ANTI,NRECH,NRECH,0,0
Antietam NB,ANTI,TRV,TRV,REC,0
Antietam NB,ANTI,TNRV,TNRV,NREC,0
Antietam NB,ANTI,TRVH,TRVH,RECH,0
Antietam NB,ANTI,TNRVH,TNRVH,NRECH,0
Antietam NB,ANTI,MISC,MISC,F8,0
Bering Land Bridge NPRES,BELA,NRECH,NRECH,NREC*LOSNRD+NROS*LOSNRO,1
Booker T. Washington NM,BOWA,F6,VANS,NULL,0
Booker T. Washington NM,BOWA,F8,VAN PASSENGERS,NULL,0
Booker T. Washington NM,BOWA,F20,Recreation Visits Pre 2020,"((((F1/4)-(F3/4))-(F5+F6))*(IIF(RM GTE 3 AND RM LTE 5,2.8,0)+IIF(RM GTE 6 AND RM LTE 8,3.3,0)+IIF(RM GTE 9 AND RM LTE 11,2.6,0)+IIF(RM EQ 12 OR RM EQ 1 OR RM EQ 2,2.4,0))+(F7+F8))",0
Booker T. Washington NM,BOWA,NREC,NREC,NRECV*PPVNR,1
Fort Washington Park,FOWA,F11,TRAFFIC COUNT AT MAIN ENTRANCE,F2,0
Booker T. Washington NM,BOWA,RECH,RECH,"IIF(RY GTE 2020,(REC-F7)*LOSREC+F7*F10,(REC*LOSREC)+((F7+F8)*F10))",0
Booker T. Washington NM,BOWA,NRECH,NRECH,NREC*LOSNR,0
Booker T. Washington NM,BOWA,TRV,TRV,REC,0
Booker T. Washington NM,BOWA,TNRV,TNRV,NREC,0
River Raisin NBP,RIRA,F21,Special Use Permits Issued,NULL,0
River Raisin NBP,RIRA,F22,Special Use Permit Visitors,NULL,0
River Raisin NBP,RIRA,F23,Junior Ranger Participants,NULL,0
Lincoln Home NHS,LIHO,F54,NUMBER OF VISITORS DECLINING TOUR,NULL,1
Cesar E. Chavez NM,CECH,F1,Visitors Entering the Visitor Center,NULL,1
Natchez NHP,NATC,F28,NUMBER OF RIVERBOAT VISITORS,NULL,0
Natchez NHP,NATC,F29,NUMBER OF VISITORS ON DOWNTOWN WALKING TOURS,NULL,0
Natchez NHP,NATC,F30,NUMBER OF VISITORS ON MELROSE GARDEN TOURS,NULL,0
Natchez NHP,NATC,F31,NUMBER OF JUNIOR RANGERS,NULL,0
Natchez NHP,NATC,F32,NUMBER OF CIVIL WAR HISTORIANS,NULL,0
Denali NP & PRES,DENA,F127,NUMBER OF VISITORS TO DENALI VC,NULL,0
Apostle Islands NL,APIS,F106,OVERFLOW TRAFFIC AT MEYERS ROAD,NULL,1
Vicksburg NMP,VICK,F28,HOWE LANE WALK-INS,"IIF(RY GTE 2013,500,0)",1
Herbert Hoover NHS,HEHO,F19,BIRTHPLACE COTTAGE VISITORS,"IIF(RY GTE 2004 AND RY LTE 2013,F13,F7)",0
Bent's Old Fort NHS,BEOL,F28,Tour Visitors,F6A,0
Bent's Old Fort NHS,BEOL,F31,Demonstrations,F7,0
Bent's Old Fort NHS,BEOL,F37,Station Vistors,F8,0
Bent's Old Fort NHS,BEOL,F40,Roving Patrol visitors,F9,0
Bent's Old Fort NHS,BEOL,REC,Recreation Visits,F10,1
Bent's Old Fort NHS,BEOL,RECH,Recreation Visitor Hours,REC*LOS,1
Bent's Old Fort NHS,BEOL,TRV,Recreation Visits,REC,0
Bent's Old Fort NHS,BEOL,TRVH,Recreation Visitor Hours,RECH,0
Booker T. Washington NM,BOWA,TRVH,TRVH,RECH,0
Booker T. Washington NM,BOWA,TNRVH,TNRVH,NRECH,0
Devils Tower NM,DETO,F1,BEGINNING TRAFFIC COUNT,NULL,1
Devils Tower NM,DETO,NR1,(OLD) (NON-RECREATION VEHICLES)NEIGHBOORS - RANCH VEHICLES,NULL,1
Devils Tower NM,DETO,NR2,(OLD) (NON-RECREATION VEHICLES)RANCH VEHICLES - REMOVED 2013,NULL,0
Devils Tower NM,DETO,AD1,EMPLOYEE VEHICLES,NULL,1
Devils Tower NM,DETO,AD2,(ADMINISTRATIVE VEHICLES) EMPLOYEES - REMOVED 2013,NULL,0
Devils Tower NM,DETO,AD4,(ADMINISTRATIVE VEHICLES)SCHOOL BUSES - REMOVED 2013,NULL,0
Devils Tower NM,DETO,F3,BUSES,NULL,1
Devils Tower NM,DETO,F4,BUS PASSENGERS,NULL,1
Devils Tower NM,DETO,F5,TENT SITES OCCUPIED,NULL,0
Devils Tower NM,DETO,PPV,PPV,"IIF(RM GTE 6 AND RM LTE 8,3.5,2.7)",1
Devils Tower NM,DETO,NRVEH,NRVEH,"IIF(RY GTE 2021, NR5, (NR1+NR2+NR3+NR4))",1
Devils Tower NM,DETO,ADMVEH,ADMVEH,"IIF(RY GTE 2021, AD1, IIF((F2-F1) LTE 900,0,(AD1+AD2+AD3+AD4)))",1
Devils Tower NM,DETO,ADJVEH,ADJVEH,"IIF(F2 LTE F1,0,(((((F2-F1)*DUPLADJ)-NRVEH)-ADMVEH)-F3))",1
Devils Tower NM,DETO,TOTAL,Total Rec Visits,"IIF(RY GTE 2024, (ADJVEH*PPV)+F4+F12, (ADJVEH*PPV)+F4)",1
Devils Tower NM,DETO,REC,REC,TOTAL,1
Devils Tower NM,DETO,RECH,RECH,REC*LOSDAY+(TT+TRVS)*LOSON,0
Devils Tower NM,DETO,NRECH,NRECH,NREC*LOSNREC,0
Devils Tower NM,DETO,TRV,TRV,REC,0
Devils Tower NM,DETO,TNRV,TNRV,NREC,0
Devils Tower NM,DETO,TRVH,TRVH,RECH,0
Devils Tower NM,DETO,TNRVH,TNRVH,NRECH,0
Devils Tower NM,DETO,TT,NPS Campground Tent Overnights,"IIF(RY GTE 2019,F30,F5*PPV)",1
Devils Tower NM,DETO,TRVS,NPS Campground RV Overnights,"IIF(RY GTE 2019,F40,F6*PPV)",1
Canyon de Chelly NM,CACH,F1,TRAFFIC COUNT AT MAIN ENTRANCE,NULL,1
Dry Tortugas NP,DRTO,F23,FERRY BOATS,NULL,0
Dry Tortugas NP,DRTO,F24,FERRY BOAT PASSENGERS,NULL,1
Dry Tortugas NP,DRTO,F5,MORNING COMMERCIAL FISHING VESSELS,NULL,1
Dry Tortugas NP,DRTO,F6,OTHER RECREATION VISITORS,NULL,0
Dry Tortugas NP,DRTO,F7,VISITORS ARRIVING BY SEAPLANE,NULL,1
Dry Tortugas NP,DRTO,F8,NUMBER OF TENTS,NULL,1
Dry Tortugas NP,DRTO,F9,COMMERCIAL VESSELS STAYING OVERNIGHT,NULL,1
Dry Tortugas NP,DRTO,F13,OTHER REC VISTORS,F6,0
Dry Tortugas NP,DRTO,F14,OTHER REC VISITOR HOURS,F13*LOSMAIN,0
Dry Tortugas NP,DRTO,F25,FERRY VISITORS,F24,1
Dry Tortugas NP,DRTO,F26,FERRY VISITOR HOURS,F25*LOSMAIN,1
Dry Tortugas NP,DRTO,F15,SEAPLANE VISITORS,F7,1
Dry Tortugas NP,DRTO,F18,CAMPING OS VISITOR HOURS,F17*LOSMAIN,1
Dry Tortugas NP,DRTO,F19,MORNING COMMERCIAL VESSEL VISITORS,F5*PPBNRECC,1
Dry Tortugas NP,DRTO,F20,MORNING COMMERCIAL VESSEL VISITOR NREC HOURS,F19*LOSNREC,1
Dry Tortugas NP,DRTO,F21,GOVERNMENT OS,"IIF(RY GTE 2007,F9*PPBNRECG,F9)",1
Dry Tortugas NP,DRTO,REC,REC,"IIF(RY GTE 2019,F11+F15+F25,F11+F13+F15+F25)",0
Dry Tortugas NP,DRTO,NREC,NREC,F19+F21,0
Dry Tortugas NP,DRTO,RECH,RECH,"IIF(RY GTE 2019,F12+F16+F18+F26,F12+F14+F16+F18+F26)",0
Dry Tortugas NP,DRTO,NRECH,NRECH,F20+F22,0
Dry Tortugas NP,DRTO,TRV,TRV,REC,0
Dry Tortugas NP,DRTO,TNRV,TNRV,NREC,0
Dry Tortugas NP,DRTO,TRVH,TRVH,RECH,0
Dry Tortugas NP,DRTO,TNRVH,TNRVH,NRECH,0
Dry Tortugas NP,DRTO,TT,TT,F17,0
Dry Tortugas NP,DRTO,MISC,MISC,F11,0
Dry Tortugas NP,DRTO,NROS,NROS,F19+F21,0
Dry Tortugas NP,DRTO,SU1M,"REC VESSEL VISITORS ",F11,0
Dry Tortugas NP,DRTO,SU5M,"FERRY BOAT VISITORS ",F24,0
Dry Tortugas NP,DRTO,SU3M,"OTHER VISITORS ",F13,0
Dry Tortugas NP,DRTO,SU4M,"COMMERCIAL VISITORS ",F19,0
Casa Grande Ruins NM,CAGR,REC,REC,"IIF(RY GTE 2008,F1+F2,F3)+F10",0
Casa Grande Ruins NM,CAGR,NREC,NREC,"IIF(RY EQ 2020 AND RM EQ 4,0,IIF(RY EQ 2020 AND RM EQ 5,0,180))",1
Casa Grande Ruins NM,CAGR,RECH,RECH,"IIF(RY GTE 2008,F1*LOS+F2*LOSGO,REC*0.85)+F10*1",0
Casa Grande Ruins NM,CAGR,NRECH,NRECH,NREC*LOSNR,0
Casa Grande Ruins NM,CAGR,TRV,TRV,REC,0
Casa Grande Ruins NM,CAGR,TNRV,TNRV,NREC,0
Casa Grande Ruins NM,CAGR,TRVH,TRVH,RECH,0
Casa Grande Ruins NM,CAGR,TNRVH,TNRVH,NRECH,0
Congaree NP,CONG,F15,BUS PASSENGERS,NULL,1
Sitka NHP,SITK,F119,CONDUCTED TOURS,F16+F14,0
Sitka NHP,SITK,F119A,CONDUCTED TOUR VISITORS,F17+F15,0
Sitka NHP,SITK,F122,EDUCATION PROGRAMS,F20+F18,0
Sitka NHP,SITK,F125,EDUCATION PROGRAM VISITORS,F21+F19,0
Sitka NHP,SITK,F128,"TOUR, PROGRAM, AV HOURS",F119A+(F125*0.42)+(F23*0.42)+F29+((F25+F27)*0.1666)+F31,0
National Capital Parks East,NCPE,FD3,TRAFFIC COUNT AT FORT DUPONT DRIVE,NULL,1
National Capital Parks East,NCPE,FD4,TRAFFIC COUNT AT FORT DUPONT SOUTH BOUND,NULL,1
Great Sand Dunes NP & PRES,GRSA,F12,VISITORS TO MUSIC PASS,NULL,1
Great Smoky Mountains NP,GRSM,F120,ABRAMS CG,"IIF(RY GTE 2022, F27A+F28A, F27+F28)",0
Dayton Aviation Heritage NHP,DAAV,F14,VISITORS TO HUFFMAN INFO CENTER VC (HPIC),NULL,1
Devils Postpile NM,DEPO,F10,Visitors at Main Entrance,(((F1/2)-F2)*3.5),0
National Capital Parks East,NCPE,F124,TRAFFIC COUNT AT SUITLAND 5301 LANE 1,"IIF(RY GTE 2015, F313, F16+F23)",0
Bluestone NSR,BLUE,F1,Visitors from Tram at Pipestem State Park,NULL,1
Bluestone NSR,BLUE,REC,REC,"IIF(RY GTE 2022, F1+F2B+F3A, F1)",1
Bluestone NSR,BLUE,RECH,RECH,REC*LOS,1
Bluestone NSR,BLUE,TRV,TRV,REC,0
Bluestone NSR,BLUE,TRVH,TRVH,RECH,0
Antietam NB,ANTI,F2,NUMBER OF OVERNIGHT STAYS AT ROHRBACH CAMPGROUND,NULL,1
Antietam NB,ANTI,F3,NUMBER OF SPECIAL EVENT VISITORS,NULL,1
Antietam NB,ANTI,F5,NUMBER OF BUSES,NULL,0
Antietam NB,ANTI,F6,Visitors to Visitor Center,F1,1
Antietam NB,ANTI,F10,SPECIAL EVENT VISITORS,F3,1
